job_id,job_title,level,company,location,skill_required,skill_category,primary_skill,num_skills,min_salary,max_salary,avg_salary,experience_years,experience_level,industry,company_size,education_required,remote_policy,is_remote_friendly,demand_score,posted_days_ago,applicants_count,benefits,salary_per_year,salary_range
1,Healthcare Data Analyst,Mid,Company_Analytics20,Pittsburgh,"LangChain, Airflow, Docker",ML/AI,LangChain,3,64515,87285,75900.0,5,Mid,Transportation,Enterprise (1000+),Associate,Hybrid,1,75,7,166,"Tuition Reimbursement, Stock Options, Gym Membership, Learning Stipend",75900,22770
2,Marketing Analyst,Senior,Company_Analytics60,Portland,"RAG, Docker, Statistics, Tableau, Flink, TensorFlow",ML/AI,RAG,6,53699,72652,63175.5,3,Senior,Government,Enterprise (1000+),Associate,On-site,0,73,16,181,"Tuition Reimbursement, Learning Stipend, Remote Work",63176,18953
3,Data Product Manager,Senior,Company_AI52,Philadelphia,"NLP, Scala, Computer Vision",ML/AI,NLP,3,135945,183926,159935.5,12,Senior,Healthcare,Enterprise (1000+),Bachelor's,Remote,1,78,7,12,"Free Lunch, 401k, Health Insurance, Parental Leave",159935,47981
4,Sports Analyst,Mid,Company_Data20,Washington DC,"PyTorch, Metabase, NLP, PostgreSQL",ML/AI,PyTorch,4,69507,94040,81773.5,6,Mid,Telecommunications,Enterprise (1000+),Associate,Remote,1,88,30,160,"Stock Options, Learning Stipend, Free Lunch, Tuition Reimbursement",81774,24533
5,Data Warehouse Engineer,Mid,Company_Tech6,Washington DC,"Kubernetes, Terraform, Kafka",Cloud,Kubernetes,3,91450,123726,107588.0,5,Mid,Insurance,Enterprise (1000+),Associate,Hybrid,1,90,30,25,"Learning Stipend, 401k",107588,32276
6,Supply Chain Analyst,Senior,Company_Digital57,Portland,"Power BI, Airflow, Leadership, Azure, Docker",BI Tools,Power BI,5,61149,82731,71940.0,3,Senior,Consulting,Enterprise (1000+),Associate,On-site,0,80,28,112,"401k, Parental Leave",71940,21582
7,Data Engineer,Mid,Company_AI71,Nashville,"Storytelling, LangChain, Deep Learning, MongoDB, Computer Vision, Looker",Soft Skills,Storytelling,6,75880,102661,89270.5,3,Mid,Healthcare,Enterprise (1000+),PhD,Remote,1,85,24,141,"Unlimited PTO, Gym Membership, Stock Options",89271,26781
8,Marketing Analyst,Senior,Company_Data15,Salt Lake City,"Probability, NLP, Kafka, Linear Algebra, GCP",Data Analysis,Probability,5,52221,70653,61437.0,2,Senior,Entertainment,Large (201-1000),Associate,On-site,0,78,30,55,"Free Lunch, Parental Leave, Health Insurance, Tuition Reimbursement",61437,18432
9,Sports Analyst,Senior,Company_Data47,San Diego,"Computer Vision, MySQL, GCP",ML/AI,Computer Vision,3,65412,88499,76955.5,2,Senior,Healthcare,Enterprise (1000+),PhD,Flexible,1,87,13,10,"Free Lunch, Unlimited PTO, Parental Leave, Learning Stipend",76956,23087
10,Marketing Analyst,Senior,Company_Tech74,Dallas,"Leadership, QlikView, Kafka, NLP, Redis",Soft Skills,Leadership,5,57908,78347,68127.5,7,Senior,Education,Enterprise (1000+),Associate,On-site,0,76,3,35,"Remote Work, Learning Stipend",68127,20439
11,AI Research Scientist,Mid,Company_Tech98,Minneapolis,"Python, Cassandra, LangChain",Programming,Python,3,86164,116575,101369.5,3,Mid,Technology,Medium (51-200),Associate,On-site,0,77,8,86,"Gym Membership, Remote Work",101370,30411
12,Supply Chain Analyst,Mid,Company_Data45,Pittsburgh,"Redis, LLM, Metabase, GCP, NLP",Databases,Redis,5,66198,89562,77880.0,6,Mid,Insurance,Medium (51-200),High School + Certification,On-site,0,90,18,102,"Health Insurance, Stock Options",77880,23364
13,Healthcare Data Analyst,Mid,Company_Analytics26,Seattle,"Airflow, Cassandra, Looker",Big Data,Airflow,3,64206,86867,75536.5,3,Mid,Telecommunications,Startup,Bachelor's,On-site,0,89,28,60,"Parental Leave, Health Insurance",75537,22661
